sample,fastq_1,fastq_2,batch,run
TB-T3.DNA.MTB-031604,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031604_S163_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031604_S163_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031606,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031606_S202_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031606_S202_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031607,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031607_S196_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031607_S196_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031608,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031608_S194_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031608_S194_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031609,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031609_S205_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031609_S205_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031610,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031610_S199_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031610_S199_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031611,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031611_S206_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031611_S206_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031612,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031612_S193_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031612_S193_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031613,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031613_S188_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031613_S188_R2_001.fastq.gz,IS-1000,Walter-TB
TB-T3.DNA.MTB-031614,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031614_S191_R1_001.fastq.gz,/labs/jandr/walter/tb/data/IS-1000/Walter-TB/TB-T3.DNA.MTB-031614_S191_R2_001.fastq.gz,IS-1000,Walter-TB
